path	bucket	proposed_new_path	reason	confidence
Areas/Work/Client Projects/Boostcamp Info.md	area-note		Substantive participant table; tied to Boostcamp client/training program	high
Areas/Work/Client Projects/Build In Excel.md	area-note		Hotel asset management dashboard spec with covenant compliance	high
Areas/Work/Client Projects/Build Table.md	area-note		Complete FTE staffing table FY19-FY23 by department	high
Areas/Work/Client Projects/Create Formula.md	area-note		Complex tax formula table for 20 city hotel scenarios	high
Areas/Work/Client Projects/Data Extraction.md	area-note		Bank statement with detailed transaction data	high
Areas/Work/Client Projects/Fill Table 2023.md	area-note		Salary and wages data table for 2023, 15 line items	high
Areas/Work/Client Projects/Full Matrix.md	area-note		System integration matrix mapping software connections	high
Areas/Work/Client Projects/Good Soup 2.md	area-note		Hotel financial KPI dashboard RevPAR/occupancy/ratios	high
Areas/Work/Client Projects/Good Soup.md	area-note		Hotel financial KPI dashboard RevPAR/occupancy/ratios	high
Areas/Work/Client Projects/Google Sheets Request.md	area-note		Spreadsheet with default margin, hedge rate, daycount params	high
Areas/Work/Client Projects/Grammarly Editing.md	area-note		Essay comparison table; AI detection scores and edits	high
Areas/Work/Client Projects/IT Integration Grid.md	area-note		Hotel IT system integration grid 39x40 matrix	high
Areas/Work/Client Projects/Landing Page Copy Framework.md	area-note		Landing page optimization guide for SaaS product	high
Areas/Work/Client Projects/Like for Like Comparison.md	area-note		Tax comparison table for 20 international cities	high
Areas/Work/Client Projects/Luuk Hours.md	area-note		Time tracking table in Dutch (school project work)	high
Areas/Work/Client Projects/Mental Health Landing Page.md	area-note		Multi-section landing page optimization for DayVibe SaaS	high
Areas/Work/Client Projects/Other Answers.md	area-note		Supplier comparison table for sustainability policy	high
Areas/Work/Client Projects/PDF Help.md	area-note		Hotel financial data 12 months revenue/expense/capital	high
Areas/Work/Client Projects/PO Informatica.md	area-note		IT equipment purchase order table 20+ items	high
Areas/Work/Client Projects/Potential Questions.md	area-note		Interview research framework matrix 5 focus areas	high
Areas/Work/Client Projects/Price per Cocktail.md	area-note		Cocktail cost breakdown 3 cocktails margin/profit	high
Areas/Work/Client Projects/Product Pricing.md	area-note		Hotel room product spec and budget table	high
Areas/Work/Client Projects/Recreate Table.md	area-note		Hotel room design specs air quality/temperature/lighting	high
Areas/Work/Client Projects/Research Compile.md	area-note		Tax research table 18 cities VAT/tourist tax	high
Areas/Work/Client Projects/Research Matrix.md	area-note		Research framework matrix 5 areas process improvement	high
Areas/Work/Client Projects/SIAT 2020.md	area-note		Financial template cost/revenue sections VAT (empty values)	high
Areas/Work/Client Projects/Software Engineer.md	area-note		System integration matrix 5x8 PMS/POS/kitchen/wine/HR	high
Areas/Work/Client Projects/Table Format.md	area-note		Commercial kitchen equipment price list 43 items	high
Areas/Work/Client Projects/Table Formatting Request.md	area-note		Hotel facility design entrances/deliveries/lifts/F&B	high
Areas/Work/Client Projects/Table Requirements.md	area-note		Departmental budget 2024-2026 hotel operations	high
